LM099,Bachelor of Architecture (LM099)
LM911,International PhD in Arts and Humanities (LM911)
LM593,MA in Human Rights in Criminal Justice (LM593)
LM492,Master of Arts Public History and Cultural Heritage (LM492)
LM657,Master of Arts Public History and Cultural Heritage (LM657)
LM902,Master of Arts in Applied Linguistics (International) (LM902)
LM803,Master of Arts in Art and Technology (LM803)
LM335,Master of Arts in Business Management (LM335)
LM307,Master of Arts in Classical String Performance (LM307)
LM298,Master of Arts in Community Music (LM298)
LM493,Master of Arts in Community Research (LM493)
LM401,Master of Arts in Comparative Literature and Cultural Studies (LM401)
LM581,Master of Arts in Comparative Literature and Cultural Studies (LM581)
LM909,Master of Arts in Composition and Creative Music Practice (LM909)
LM904,Master of Arts in Creative Writing (LM904)
LM297,Master of Arts in Dance Performance (LM297)
LM437,Master of Arts in English (LM437)
LM720,Master of Arts in English (LM720)
LM316,Master of Arts in Ethnochoreology (LM316)
LM317,Master of Arts in Ethnomusicology (LM317)
LM295,Master of Arts in European Studies (LM295)
LM438,Master of Arts in Festive Arts (LM438)
LM427,Master of Arts in Gender,Culture and Society (LM427)
LM598,Master of Arts in Gender,Culture and Society (LM598)
LM579,Master of Arts in Guidance Counselling and Lifespan Development (LM579)
LM560,Master of Arts in Health Education Promotion (LM560)
LM388,Master of Arts in History (LM388)
LM402,Master of Arts in History of the Family (LM402)
LM584,Master of Arts in History of the Family (LM584)
LM423,Master of Arts in Human Rights in Criminal Justice (LM423)
LM311,Master of Arts in International Studies (LM311)
LM327,Master of Arts in International Tourism (LM327)
LM506,Master of Arts in International Tourism (LM506)
LM907,Master of Arts in Irish Dance Studies (LM907)
LM908,Master of Arts in Irish Music Studies (LM908)
LM296,Master of Arts in Irish Traditional Music Performance (LM296)
LM409,Master of Arts in Journalism (LM409)
LM409,Master of Arts in Journalism (Part Time) (LM409)
LM504,Master of Arts in Local History (LM504)
LM399,Master of Arts in Music Education (LM399)
LM309,Master of Arts in Music Therapy (LM309)
LM306,Master of Arts in Peace and Development Studies (LM306)
LM406,Master of Arts in Politics (LM406)
LM628,Master of Arts in Psychology (LM628)
LM397,Master of Arts in Public Administration (LM397)
LM502,Master of Arts in Public Administration (Part-Time) (LM502)
LM656,Master of Arts in Serious Crime Investigation (LM656)
LM395,Master of Arts in Sociology (Applied Social Research) (LM395)
LM587,Master of Arts in Sociology (Applied Social Research) (LM587)
LM440,Master of Arts in Sociology (Youth,Community and Social Regeneration) (LM440)
LM653,Master of Arts in Sociology (Youth,Community and Social Regeneration) (LM653)
LM491,Master of Arts in Songwriting (LM491)
LM301,Master of Arts in Teaching English to Speakers of Other Languages (LM301)
LM468,Master of Arts in Teaching Learning and Scholarship (LM468)
LM436,Master of Arts in Technical Communication and E-Learning (LM436)
LM651,Master of Arts in Technical Communication and E-Learning (LM651)
LM511,Master of Business Administration - Executive MBA (LM511)
LM554,Master of Education (LM554)
LM724,Master of Education (LM724)
LM573,Master of Education in Educational Leadership (LM573)
LM727,Master of Education in School Leadership (LM727)
LM346,Master of Engineering Computer and Communications Systems (LM346)
LM371,Master of Engineering in Aeronautical Engineering (LM371)
LM810,Master of Engineering in Civil Engineering (LM810)
LM386,Master of Engineering in Computer Engineering (LM386)
LM634,Master of Engineering in Information and Network Security (LM634)
LM372,Master of Engineering in Mechanical Engineering (LM372)
LM363,Master of Engineering in Mechatronics (LM363)
LM726,Master of Erasmus Mundus in Psychology of Global Mobility,Inclusion and Diversity in Society (LM726)
LM424,Master of Laws (General) (LM424)
LM594,Master of Laws (General) (LM594)
LM426,Master of Laws in Human Rights in Criminal Justice (LM426)
LM596,Master of Laws in Human Rights in Criminal Justice (LM596)
LM421,Master of Laws in International Commercial Law (LM421)
LM597,Master of Laws in International Commercial Law (LM597)
LM809,Master of Science Bioprocessing (LM809)
LM804,Master of Science Human Nutrition and Dietetics (LM804)
LM695,Master of Science Nursing (LM695)
LM799,Master of Science in Artificial Intelligence and Machine Learning (LM799)
LM355,Master of Science in Advanced Engineering Materials (LM355)
LM679,Master of Science in Advanced Healthcare Practice (LM679)
LM683,Master of Science in Advanced Healthcare Practice (LM683)
LM361,Master of Science in Advanced Materials (LM361)
LM800,Master of Science in Aeronautical Engineering (LM800)
LM623,Master of Science in Applied Physics (LM623)
LM990,Master of Science in Applied Sports Coaching (LM990)
LMXXX,Master of Science in Art and Technology (LMXXX)
LM719,Master of Science in Artificial Intelligence (LM719)
LM356,Master of Science in Biomedical Device Materials (LM356)
LM485,Master of Science in Business Analytics (LM485)
LM798,Master of Science in Civil Engineering (LM798)
LM324,Master of Science in Computational Finance (LM324)
LM697,Master of Science in Design for Health and Wellbeing (LM697)
LM975,Master of Science in Design for Health and Wellbeing (Part-time) (LM975)
LM808,Master of Science in Digital Health Transformation (LM808)
LM481,Master of Science in Economics and Policy Analysis (LM481)
LM483,Master of Science in Economics and Policy Analysis (LM483)
LM975,Master of Science in Engineering Practice (LM975)
LM329,Master of Science in Financial Services (LM329)
LM635,Master of Science in Health Informatics (LM635)
LM725,Master of Science in Health Professions Education (LM725)
LM328,Master of Science in Human Resource Management (LM328)
LM513,Master of Science in Human Resource Management (LM513)
LM432,Master of Science in International Management and Global Business (LM432)
LM479,Master of Science in Machine Learning for Finance (LM479)
LM431,Master of Science in Marketing,Consumption and Society (LM431)
LM636,Master of Science in Mathematical Modelling (LM636)
LM801,Master of Science in Mechanical Engineering (LM801)
LM728,Master of Science in Mental Skills and Mental Health in Sports and Exercise (LM728)
LM678,Master of Science in Nursing (Dementia Care) (LM678)
LM698,Master of Science in Nursing (Older Person) (LM698)
LM617,Master of Science in Nursing (Palliative Care) (LM617)
LM618,Master of Science in Nursing (Peri-Operative Care) (LM618)
LM605,Master of Science in Nursing (Psychosocial Interventions in Mental Health Care) (LM605)
LM677,Master of Science in Nursing Studies (LM677)
LM373,Master of Science in Occupational Therapy (Professional Qualification) (LM373)
LM448,Master of Science in Perinatal Mental Health (LM448)
LM692,Master of Science in Physiotherapy (Professional Qualification) (LM692)
LM449,Master of Science in Project Management (LM449)
LM665,Master of Science in Project and Programme Management (LM665)
LM446,Master of Science in Psychological Science (LM446)
LM689,Master of Science in Public Health (LM689)
LM685,Master of Science in Public Health (Part-Time) (LM685)
LM344,Master of Science in Quality Management (LM344)
LM482,Master of Science in Risk Management and Insurance (LM482)
LM805,Master of Science in Software Development: International Systems (LM805)
LM338,Master of Science in Software Engineering (LM338)
LM374,Master of Science in Speech and Language Therapy (Professional Qualification) (LM374)
LM631,Master of Science in Sport,Exercise and Performance Psychology (LM631)
LM629,Master of Science in Sports Performance (LM629)
LM646,Master of Science in Sports Performance (LM646)
LM704,Master of Science in Strategic Quality Management (Lean Sigma Systems) (LM704)
LM638,Master of Science in Supply Chain Operations (LM638)
LM670,Master of Science in Sustainable Resource Management: Policy and Practice (LM670)
LM535,Master of Science in Technology Management (LM535)
LM433,Master of Science in Work and Organisational Behaviour (LM433)
LM529,Master of Science in Work and Organisational Behaviour (LM529)
LM325,Master of Science in Work and Organisational Psychology (LM325)
LM516,Master of Science in Work and Organisational Psychology (LM516)
LM434,Master of Taxation (LM434)
LM533,Master of Technology in Safety and Ergonomics (LM533)
LM803,Masters Degree in Art and Technology (LM803)
LM807,Masters Degree in Interaction and Experience Design (LM807)
LM334,Masters in International Entrepreneurship Management (LM334)
LM191,Mature Student Access Certificate (LM191)
LM674,Postgraduate Certificate in Advanced Clinical Practice (LM674)
LM553,Postgraduate Diploma in School Leadership (LM553)
LM285,Professional Diploma in Accounting (LM285)
LM271,Professional Diploma in Mathematics for Teaching (LM271)
LM699,Professional Doctorate in Healthcare Practice (LM699)
LM696,Professional Master of Education (LM696)
LM639,Specialist Diploma in Aviation Leasing and Finance (LM639)
LM643,Specialist Diploma in Design for Medical Technologies (LM643)
LM974,Specialist Diploma in Embedded Systems Engineering (LM974)
LM718,Specialist Diploma in Information and Network Security (LM718)
LM709,Specialist Diploma in Innovation Management (LM709)
LM668,Specialist Diploma in Management Practice (LM668)
LM669,Specialist Diploma in Marketing Management (LM669)
LM983,Specialist Diploma in Project Management (LM983)
LM247,Specialist Diploma in Quality Management - Lean Healthcare Systems (LM247)
LM403,Specialist Diploma in Quality Management - Lean Systems (LM403)
LM641,Specialist Diploma in Quality Management - Six Sigma (LM641)
LM277,Specialist Diploma in Regulatory Affairs in (Bio)Pharmaceuticals (LM277)
LM289,Specialist Diploma in Strategic Leadership in the Age of Digital Disruption (Part-time) (LM289)
LM466,Specialist Diploma in Supply Chain Management (LM466)
LM577,Specialist Diploma in Teaching Learning and Scholarship (LM577)
LM708,Specialist Diploma in Technology Commercialisation (LM708)
LMXXX,Summer School in Irish Studies (LMXXX)
